date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:11:39	31667/31667	---M-Z	200	added ('OK')	text/html	etag:%227bb3-571d0487f6cc0-gzip%22	http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/home.html	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/home.html	(from )
10:11:39	316/316	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Jul%202018%2004:41:47%20GMT	http://bhamashah.rajasthan.gov.in/robots.txt		(from )
10:11:39	455/455	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Jul%202018%2004:41:47%20GMT	http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/null	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/null	(from http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/home.html)
10:11:40	192962/192962	---M-Z	200	added ('OK')	text/css	etag:%222f1c2-56f0382c3ac40-gzip%22	http://bhamashah.rajasthan.gov.in/etc/designs/bhamashah/clientlib/publish.min.css	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/etc/designs/bhamashah/clientlib/publish.min.css	(from http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/home.html)
10:11:41	495/495	---M-Z	200	added ('OK')	text/css	etag:%221ef-56f0382b46a00-gzip%22	http://bhamashah.rajasthan.gov.in/etc/designs/bhamashah/pop-up.min.css	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/etc/designs/bhamashah/pop-up.min.css	(from http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/home.html)
10:11:41	935/935	---M-Z	200	added ('OK')	application/javascript	etag:%223a7-56f0382d2ee80-gzip%22	http://bhamashah.rajasthan.gov.in/etc/designs/bhamashah/pop-up.min.js	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/etc/designs/bhamashah/pop-up.min.js	(from http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/home.html)
10:11:42	6794/6794	---M--	200	added ('OK')	image/png	etag:%221a8a-56efbd449b440%22	http://bhamashah.rajasthan.gov.in/content/dam/doitassets/Bhamashah/Images/national_logo.png	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/content/dam/doitassets/Bhamashah/Images/national_logo.png	(from http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/home.html)
10:11:42	3038/3038	---M--	200	added ('OK')	image/png	etag:%22bde-56f03430c0700%22	http://bhamashah.rajasthan.gov.in/content/dam/doitassets/Bhamashah/Images/logo_big.png	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/content/dam/doitassets/Bhamashah/Images/logo_big.png	(from http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/home.html)
10:11:42	69897/69897	---M-Z	200	added ('OK')	text/html	etag:%2211109-571d0ed9a4540-gzip%22	http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/circulars-letters.html	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/circulars-letters.html	(from http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/home.html)
10:11:43	10367/10367	---M-Z	200	added ('OK')	text/html	etag:%22287f-571d15ce26e00-gzip%22	http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/presentation.html	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/presentation.html	(from http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/home.html)
10:11:43	12245/12245	---M-Z	200	added ('OK')	text/html	etag:%222fd5-571d1261b9a40-gzip%22	http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/brochure.html	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/brochure.html	(from http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/home.html)
